ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
,simple,,Balo-Du-Lịch-Oxford-T924U-3(đỏ),1,,visible,,,,,taxable,,1,,,,,,,,,,160.155 ₫,255.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-Du-Lich-Oxfor.jpg,,,,,,,,,
,simple,,Bộ-1-balo-+-1-túi-đeo-chéo-và-1-ví-cầm-tay-KQ191-(Đen).,1,,visible,,,,,taxable,,1,,,,,,,,,,105.400 ₫,199.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Bo-1-balo-+-1-tui.jpg,,,,,,,,,
,simple,,"Balo-học-sinh,-sinh-viên-nữ-thời-trang-kiểu-dáng-trẻ-trung,-khóa-thêu-viền-cao-cấp",1,,visible,,,,,taxable,,1,,,,,,,,,,109.000 ₫,229.000 ₫,Tshirts,,,"http://localhost/wordpress/wp-content/uploads/2018/05/Balo-hoc-sinh,-sin.jpg",,,,,,,,,
,simple,,Bộ-Balô-Và-Nón-Alan-Walker-(Đen),1,,visible,,,,,taxable,,1,,,,,,,,,,67.999 ₫,123.380 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Bo-Balo-Va-Non-.jpg,,,,,,,,,
,simple,,Balo-da-mini-thời-trang-mèo-tai---vừa-A5,1,,visible,,,,,taxable,,1,,,,,,,,,,65.000 ₫,,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-da-mini-thoi-.jpg,,,,,,,,,
,simple,,Balo-nữ-thời-trang-Hàn-Quốc-LAZAPAY.VN-A181GL-(Xanh),1,,visible,,,,,taxable,,1,,,,,,,,,,38.250 ₫,89.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-nu-thoi-tra.jpg,,,,,,,,,
,simple,,Balo-Laptop-Hàn-Quốc-LAZA-BL221---Xám-,1,,visible,,,,,taxable,,1,,,,,,,,,,118.150 ₫,198.000 ₫,Tshirts,,,FALSE,,,,,,,,,
,simple,,Balo-thời-trang-GoodSeptemper-nữ-(xanh-phối-đen)-+-Tặng-Tai-nghe-nhét-tai-GoodSeptemper,1,,visible,,,,,taxable,,1,,,,,,,,,,59.000 ₫,115.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-thoi-trang-Go.jpg,,,,,,,,,
,simple,,BALO-THỜI-TRANG-NAM-NỮ-PECULIAR-(ĐEN),1,,visible,,,,,taxable,,1,,,,,,,,,,46.000 ₫,90.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/BALO-THOI-TRANG-NA.jpg,,,,,,,,,
,simple,,Balo-đính-đinh-mini-thời-trang,1,,visible,,,,,taxable,,1,,,,,,,,,,99.000 ₫,170.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-dinh-dinh-mi.jpg,,,,,,,,,
,simple,,Balô-Vải-Thời-Trang-BL2502-(-Đen),1,,visible,,,,,taxable,,1,,,,,,,,,,59.000 ₫,139.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-Vai-Thoi-T.jpg,,,,,,,,,
,simple,,Balo-Laptop-Hàn-Quốc-LAZA-BL221-(Đen),1,,visible,,,,,taxable,,1,,,,,,,,,,118.150 ₫,198.000 ₫,Tshirts,,,FALSE,,,,,,,,,
,simple,,Balo-nữ-thời-trang-trẻ-trung-DT2543M,1,,visible,,,,,taxable,,1,,,,,,,,,,99.000 ₫,180.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-nu-thoi-tra.jpg,,,,,,,,,
,simple,,BALO-THỜI-TRANG-NỮ-LATA-BAL17-DA-BÒ-ĐẬM,1,,visible,,,,,taxable,,1,,,,,,,,,,166.000 ₫,320.000 ₫,Tshirts,,,FALSE,,,,,,,,,
,simple,,Balo-da-Nữ-Thời-Trang-cao-cấp-FM---119,1,,visible,,,,,taxable,,1,,,,,,,,,,102.000 ₫,238.900 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-da-Nu-Thoi-.jpg,,,,,,,,,
,simple,,Balo-Nữ-Vải-Chất-Lượng-Tuyệt-Hảo---Dbn17-3la-(-Đen),1,,visible,,,,,taxable,,1,,,,,,,,,,166.000 ₫,399.000 ₫,Tshirts,,,FALSE,,,,,,,,,
,simple,,Balo-thời-trang-nữ-BLA-335-(Đen)-+-Micro-Karaoke-mini,1,,visible,,,,,taxable,,1,,,,,,,,,,109.650 ₫,180.000 ₫,Tshirts,,,FALSE,,,,,,,,,
,simple,,Balo-nữ-mini-chống-thấm-phong-cách-Hàn-Quốc,1,,visible,,,,,taxable,,1,,,,,,,,,,78.000 ₫,105.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Balo-nu-mini-cho.jpg,,,,,,,,,
,simple,,BALO-THỜI-TRANG-MỚI-(vừa-A4),1,,visible,,,,,taxable,,1,,,,,,,,,,79.000 ₫,150.000 ₫,Tshirts,,,FALSE,,,,,,,,,
,simple,,Bộ-3-Love-Love-Balo-POHAN-LL04-(đen)-+-1-Ví-Khi-Mua-2SP,1,,visible,,,,,taxable,,1,,,,,,,,,,91.000 ₫,130.000 ₫,Tshirts,,,http://localhost/wordpress/wp-content/uploads/2018/05/Bo-3-Love-Love-Bal.jpg,,,,,,,,,
